,name,property_type,room_type,bed_type,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,host_id,host_name,host_neighbourhood,country,review_scores_rating
0,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,3.0,5.0,51,1.0,80.0,35.0,51399391,Ana&Gonçalo,Kensington,Portugal,89.0
1,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,317.0,187.0,1282196,Ynaie,Jardim Botânico,Brazil,93.09924038225925
2,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,1.0,1.0,96,1.0,115.0,100.0,5448114,David,Waikiki,United States,84.0
3,Private Room in Bushwick,Apartment,Private room,Real Bed,1.0,1.0,1,1.5,40.0,94.07480119284294,11275734,Josh,Bushwick,United States,100.0
4,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1.0,1.0,0,2.0,701.0,250.0,51496939,Livia,Lagoa,Brazil,93.09924038225925
5,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,1.0,1.0,70,1.0,135.0,135.0,454250,Greta,Roosevelt Island,United States,94.0
6,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,1.0,3.0,70,2.0,119.0,150.0,51530266,Ana Valéria,Copacabana,Brazil,98.0
7,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2.0,6.0,1,1.0,527.0,211.0,1241644,Zeynep,Moda,Turkey,100.0
8,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,1.0,8.0,1,4.0,250.0,0.0,51326285,Beatriz,Catete,Brazil,80.0
9,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1.0,2.0,0,1.0,50.0,94.07480119284294,51612949,Konstantin,Mile End,Canada,93.09924038225925
10,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,0.0,2.0,5,1.0,205.0,94.07480119284294,47554473,Mae,Greenpoint,United States,88.0
11,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,0.0,1.0,0,1.0,43.0,94.07480119284294,7140229,Caro,Elizabeth Bay/Rushcutters Bay,Canada,93.09924038225925
12,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,1.0,2.0,3,1.0,699.0,94.07480119284294,51624384,Giovanni,Soho,Hong Kong,100.0
13,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,3.0,3.0,0,1.0,140.0,94.07480119284294,9036477,Margaux,Le Plateau,Canada,93.09924038225925
14,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,2.0,2.0,0,2.0,858.0,112.0,51670240,Jonathan,West Brighton,Brazil,93.09924038225925
15,Double Room en-suite (307),Apartment,Private room,Real Bed,1.0,1.0,0,1.0,361.0,94.07480119284294,51289938,Ken,Jordan,Hong Kong,93.09924038225925
16,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1.0,2.0,0,1.0,50.0,10.0,30393403,Anna,Dreta de l'Eixample,Spain,93.09924038225925
17,Be Happy in Porto,Loft,Entire home/apt,Real Bed,1.0,1.0,178,1.0,30.0,10.0,27518920,Fábio,Copacabana,Portugal,97.0
18,City center private room with bed,Guesthouse,Private room,Futon,1.0,1.0,81,1.0,181.0,50.0,51744313,Yi,Shek Kip Mei,Hong Kong,92.0
19,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,0.0,1.0,64,1.0,181.0,50.0,13764143,Ben,Surry Hills,Australia,95.0
20,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,1.0,1.0,27,1.0,58.0,0.0,21331922,Ali,Taksim,Turkey,99.0
